,Vehicle ID,Frame Id,Lane Id,LocalY,Mean Speed,Mean Acceleration,Vehicle Length,Vehicle Class Id,Follower Id,Leader Id,LocalY_leader,Mean Speed_leader,Vehicle Length_leader,Driving Regime
8996,36.0,270.0,3.0,100.14956,1.04333,0.04822,7.5599,3.0,50.0,-1.0,,,,F
8997,36.0,271.0,3.0,100.25622,1.06657,0.23244,7.5599,3.0,50.0,-1.0,,,,F
8998,36.0,272.0,3.0,100.36641,1.1019,0.3533,7.5599,3.0,50.0,-1.0,,,,F
8999,36.0,273.0,3.0,100.48025,1.13842,0.36517,7.5599,3.0,50.0,-1.0,,,,F
9000,36.0,274.0,3.0,100.597,1.16747,0.29044,7.5599,3.0,50.0,-1.0,,,,F
9001,36.0,275.0,3.0,100.7156,1.18601,0.1854,7.5599,3.0,50.0,-1.0,,,,F
9002,36.0,276.0,3.0,100.83511,1.19512,0.09111,7.5599,3.0,50.0,-1.0,,,,F
9003,36.0,277.0,3.0,100.95477,1.19665,0.01534,7.5599,3.0,50.0,-1.0,,,,F
9004,36.0,278.0,3.0,101.0739,1.1913,-0.05356,7.5599,3.0,50.0,-1.0,,,,F
9005,36.0,279.0,3.0,101.19177,1.17867,-0.12624,7.5599,3.0,50.0,-1.0,,,,F
9006,36.0,280.0,3.0,101.30763,1.15864,-0.20036,7.5599,3.0,50.0,-1.0,,,,F
9007,36.0,281.0,3.0,101.42091,1.13277,-0.25865,7.5599,3.0,50.0,-1.0,,,,F
9008,36.0,282.0,3.0,101.5314,1.10487,-0.27905,7.5599,3.0,50.0,-1.0,,,,F
9009,36.0,283.0,3.0,101.63937,1.07977,-0.25095,7.5599,3.0,50.0,-1.0,,,,F
9010,36.0,284.0,3.0,101.74553,1.06154,-0.18228,7.5599,3.0,50.0,-1.0,,,,F
9011,36.0,285.0,3.0,101.85078,1.0525,-0.09038,7.5599,3.0,50.0,-1.0,,,,F
9012,36.0,286.0,3.0,101.95617,1.0539,0.01394,7.5599,3.0,50.0,-1.0,,,,F
9013,36.0,287.0,3.0,102.06292,1.06754,0.13646,7.5599,3.0,50.0,-1.0,,,,F
9014,36.0,288.0,3.0,102.17269,1.09767,0.30127,7.5599,3.0,50.0,-1.0,,,,F
9015,36.0,289.0,3.0,102.28793,1.15242,0.54749,7.5599,3.0,50.0,-1.0,,,,A
9016,36.0,290.0,3.0,102.4123,1.24367,0.91252,7.5599,3.0,50.0,-1.0,,,,A
9017,36.0,291.0,3.0,102.55053,1.38232,1.3865,7.5599,3.0,50.0,-1.0,,,,A
9018,36.0,292.0,3.0,102.70744,1.56912,1.86799,7.5599,3.0,50.0,-1.0,,,,A
9019,36.0,293.0,3.0,102.88624,1.78792,2.18797,7.5599,3.0,50.0,-1.0,,,,A
9020,36.0,294.0,3.0,103.08797,2.01733,2.2941,7.5599,3.0,50.0,-1.0,,,,A
9021,36.0,295.0,3.0,103.31252,2.24556,2.28233,7.5599,3.0,50.0,-1.0,,,,A
9022,36.0,296.0,3.0,103.5588,2.46273,2.17172,7.5599,3.0,50.0,-1.0,,,,A
9023,36.0,297.0,3.0,103.82419,2.65393,1.91197,7.5599,3.0,50.0,-1.0,,,,A
9024,36.0,298.0,3.0,104.10456,2.80366,1.49734,7.5599,3.0,50.0,-1.0,,,,A
9025,36.0,299.0,3.0,104.3946,2.90048,0.96815,7.5599,3.0,50.0,-1.0,,,,F
9026,36.0,300.0,3.0,104.68898,2.94375,0.43268,7.5599,3.0,50.0,-1.0,,,,F
9027,36.0,301.0,3.0,104.98457,2.95589,0.12142,7.5599,3.0,50.0,-1.0,,,,F
